"ID_ESTRATO","LISTA_NOMINAL","cid_ng1","cid_ng5","cid_ng10","cid_ng20","cid_ng30","cid_ng50","cid_ng100","cid_ng200","cid_ng300"
1,306488,1,1,1,1,1,1,1,1,1
2,304756,1,2,2,2,2,2,2,2,2
3,332204,1,3,3,3,3,3,3,3,3
4,334181,1,2,2,4,4,4,4,4,4
5,336298,1,2,2,4,4,4,5,5,5
6,330058,1,2,4,5,5,5,6,6,6
7,344424,1,4,5,6,6,6,7,7,7
8,355396,1,2,2,4,4,4,4,4,8
9,338791,1,2,2,4,4,4,4,8,9
10,344373,1,2,2,4,4,4,4,8,10
11,348046,1,4,5,6,6,6,7,7,11
12,277795,1,2,2,4,7,7,8,9,12
13,238351,1,2,2,4,4,8,9,10,13
14,321907,1,1,6,7,8,9,10,11,14
15,320149,1,2,4,5,5,5,11,12,15
16,316626,1,1,1,1,1,10,12,13,16
17,299448,1,1,6,7,8,11,13,14,17
18,313766,1,1,1,1,1,1,14,15,18
19,316909,1,1,1,1,1,1,14,16,19
20,302651,1,1,1,1,1,1,15,17,20
21,290378,1,1,6,7,8,11,13,18,21
22,314320,1,1,6,7,8,11,13,14,22
23,277346,1,1,6,7,8,12,16,19,23
24,253374,1,2,4,5,5,5,17,20,24
25,247047,1,1,7,8,9,13,18,21,25
26,246405,1,1,7,8,10,14,19,22,26
27,235285,1,1,7,8,9,13,20,23,27
28,258864,1,1,7,8,9,13,18,24,28
29,276588,1,1,6,9,11,15,21,25,29
30,308774,1,2,4,5,12,16,22,26,30
31,277171,1,1,7,8,9,13,18,24,31
32,301902,1,1,7,8,10,14,23,27,32
33,313545,1,4,5,6,6,6,24,28,33
34,279402,1,1,7,8,9,13,20,23,34
35,230721,1,1,7,10,13,17,25,29,35
36,293222,1,2,4,5,12,16,26,30,36
37,272255,1,1,7,8,10,14,23,31,37
38,294799,1,2,4,5,12,18,27,32,38
39,286909,1,5,8,11,14,19,28,33,39
40,288764,1,5,8,11,14,19,29,34,40
41,331502,1,5,8,11,14,19,28,35,41
42,322473,1,1,1,1,1,1,1,1,42
43,347451,1,3,3,12,15,20,30,36,43
44,289173,1,2,2,2,2,2,2,37,44
45,331730,1,3,3,3,3,3,3,38,45
46,250459,1,1,1,1,1,10,31,39,46
47,310869,1,2,4,13,16,21,32,40,47
48,367043,1,2,2,4,4,4,33,41,48
49,378726,1,2,2,4,4,4,33,41,49
50,280449,1,2,4,13,16,21,32,40,50
51,269909,1,2,2,4,4,4,33,42,51
52,315711,1,2,2,2,2,22,34,43,52
53,367201,1,2,4,13,16,23,35,44,53
54,278649,1,2,4,5,5,24,36,45,54
55,294302,1,2,4,5,12,16,22,46,55
56,319499,1,2,2,4,7,7,8,47,56
57,306332,1,2,4,13,16,23,37,48,57
58,298033,1,2,2,4,4,4,33,49,58
59,357004,1,2,4,13,16,23,35,44,59
60,269751,1,2,2,4,4,4,33,41,60
61,367723,1,3,3,3,3,3,38,50,61
62,326967,1,2,4,13,16,23,35,51,62
63,320805,1,2,2,2,2,22,34,43,63
64,321491,1,2,4,13,16,23,35,44,64
65,299307,1,2,4,13,16,21,32,40,65
66,286303,1,2,4,13,16,21,32,52,66
67,314624,1,2,4,5,12,16,22,46,67
68,282855,1,2,4,13,16,21,32,52,68
69,358453,1,2,4,13,16,23,35,51,69
70,336250,1,2,2,2,2,22,39,53,70
71,315480,1,1,1,14,17,25,40,54,71
72,322807,1,2,2,2,2,2,41,55,72
73,311975,1,1,6,7,8,12,16,56,73
74,329417,1,1,1,14,17,25,40,57,74
75,263698,1,1,1,14,18,26,42,58,75
76,299491,1,3,3,3,3,27,43,59,76
77,281185,1,3,3,12,15,28,44,60,77
78,263508,1,3,3,12,15,20,45,61,78
79,286821,1,3,3,12,15,28,44,62,79
80,280288,1,3,3,12,15,28,44,62,80
81,300057,1,3,3,12,15,20,45,63,81
82,318874,1,3,3,3,3,27,43,64,82
83,280355,1,3,3,3,3,3,3,3,83
84,321373,1,1,1,14,18,26,42,65,84
85,266144,1,3,3,12,15,28,44,62,85
86,317526,1,3,3,3,3,27,46,66,86
87,306715,1,1,1,14,18,26,42,67,87
88,304179,1,1,1,14,18,26,42,68,88
89,269317,1,3,3,3,3,3,3,38,89
90,262304,1,1,9,15,19,29,47,69,90
91,290940,1,1,9,16,20,30,48,70,91
92,315688,1,2,4,13,16,31,49,71,92
93,301653,1,2,4,5,12,16,50,72,93
94,261512,1,1,9,16,21,32,51,73,94
95,271322,1,1,9,15,19,33,52,74,95
96,268406,1,1,6,9,11,15,53,75,96
