ID_ESTADO,ENTIDAD,ID_DISTRITO,PAN,PRI,PRD,PVEM,PT,MORENA
1,Aguascalientes,1,0,1,0,1,0,0
1,Aguascalientes,2,1,0,0,0,0,1
1,Aguascalientes,3,0,0,0,0,0,1
2,Baja California,1,1,0,0,0,0,0
2,Baja California,2,1,0,0,0,0,0
2,Baja California,3,0,0,1,0,0,0
2,Baja California,4,0,0,1,0,0,0
2,Baja California,5,1,0,0,0,0,0
2,Baja California,6,0,1,0,0,0,0
2,Baja California,7,0,1,0,0,0,0
2,Baja California,8,1,0,0,1,0,0
2,Baja California,9,0,1,0,0,0,0
3,Baja California Sur,1,1,0,0,1,0,0
3,Baja California Sur,2,1,0,0,0,1,0
4,Campeche,1,0,1,0,0,0,1
4,Campeche,2,0,0,1,0,0,1
5,Coahuila,1,0,1,0,0,1,0
5,Coahuila,2,0,1,0,0,0,1
5,Coahuila,3,1,0,0,0,1,0
5,Coahuila,4,0,1,0,0,1,0
5,Coahuila,5,1,0,0,1,0,0
5,Coahuila,6,0,1,0,0,0,1
5,Coahuila,7,0,1,0,0,0,1
5,Coahuila,8,0,0,1,1,0,0
6,Colima,1,1,0,0,0,0,1
6,Colima,2,0,1,0,0,0,1
7,Chiapas,1,0,0,1,0,1,0
7,Chiapas,2,0,1,0,0,0,1
7,Chiapas,3,0,0,1,0,0,1
7,Chiapas,4,0,0,1,0,0,1
7,Chiapas,5,0,1,0,0,0,1
7,Chiapas,6,0,0,1,0,0,1
7,Chiapas,7,0,1,0,0,0,0
7,Chiapas,8,0,1,0,0,1,0
7,Chiapas,9,1,0,0,0,0,1
7,Chiapas,10,0,0,1,1,0,0
7,Chiapas,11,0,0,1,1,0,0
7,Chiapas,12,0,0,1,0,0,0
7,Chiapas,13,0,1,0,1,0,0
8,Chihuahua,1,0,0,1,0,0,1
8,Chihuahua,2,0,1,0,0,0,1
8,Chihuahua,3,0,1,0,0,1,0
8,Chihuahua,4,1,0,0,1,0,0
8,Chihuahua,5,1,0,0,0,0,1
8,Chihuahua,6,1,0,0,0,0,1
8,Chihuahua,7,1,0,0,0,1,0
8,Chihuahua,8,0,1,0,1,0,0
8,Chihuahua,9,0,1,0,1,0,0
9,Ciudad de México,1,1,0,0,0,0,1
9,Ciudad de México,2,0,1,0,0,1,0
9,Ciudad de México,3,1,0,0,0,0,1
9,Ciudad de México,4,1,0,0,0,0,1
9,Ciudad de México,5,0,1,0,0,0,1
9,Ciudad de México,6,1,0,0,0,0,1
9,Ciudad de México,7,0,0,1,0,0,1
9,Ciudad de México,8,1,0,0,1,0,0
9,Ciudad de México,9,0,1,0,0,0,1
9,Ciudad de México,10,1,0,0,0,0,1
9,Ciudad de México,11,0,0,1,0,0,1
9,Ciudad de México,12,0,0,1,0,0,1
9,Ciudad de México,13,0,0,1,0,0,1
9,Ciudad de México,14,0,0,1,0,0,1
9,Ciudad de México,15,1,0,0,1,0,0
9,Ciudad de México,16,0,1,0,0,0,1
9,Ciudad de México,17,1,0,0,1,0,0
9,Ciudad de México,18,0,0,1,0,0,1
9,Ciudad de México,19,1,0,0,1,0,0
9,Ciudad de México,20,0,0,1,0,1,0
9,Ciudad de México,21,0,1,0,0,0,1
9,Ciudad de México,22,0,0,1,0,0,1
